TEAM,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MIDRANGE FGM,MIDRANGE FGA,MIDRANGE FG%,LEFT CORNER FGM,LEFT CORNER FGA,LEFT CORNER FG%,RIGHT CORNER FGM,RIGHT CORNER FGA,RIGHT CORNER FG%,CORNER 3 FGM,CORNER 3 FGA,CORNER 3 FG%,ATB 3 FGM,ATB FGA,ATB FG%,YEAR,SEASON WIN PCT,PLAYOFFS
Atlanta Hawks,801,1288,62.2,274,689,39.8,218,490,44.5,79,197,40.1,58,156,37.2,137,353,38.8,392,1157,33.9,2021,0.511,1
Boston Celtics,684,1049,65.2,338,768,44,210,498,42.2,71,179,39.7,72,186,38.7,143,365,39.2,432,1186,36.4,2021,0.489,1
Brooklyn Nets,765,1195,64,367,845,43.4,226,535,42.2,82,217,37.8,62,190,32.6,144,407,35.4,458,1226,37.4,2021,0.674,1
Charlotte Hornets,840,1280,65.6,209,481,43.5,126,336,37.5,113,266,42.5,108,283,38.2,221,549,40.3,433,1221,35.5,2021,0.523,1
Chicago Bulls,786,1251,62.8,299,652,45.9,238,531,44.8,65,155,41.9,60,141,42.6,125,296,42.2,361,1100,32.8,2021,0.442,0
Cleveland Cavaliers,796,1338,59.5,312,626,49.8,195,479,40.7,82,190,43.2,69,181,38.1,151,371,40.7,403,1060,38,2021,0.378,0
Dallas Mavericks,689,1062,64.9,255,626,40.7,197,500,39.4,66,175,37.7,69,162,42.6,135,337,40.1,453,1234,36.7,2021,0.535,1
Denver Nuggets,747,1087,68.7,275,653,42.1,209,514,40.7,112,244,45.9,78,211,37,190,455,41.8,399,1151,34.7,2021,0.6,1
Detroit Pistons,809,1295,62.5,285,647,44,188,442,42.5,61,176,34.7,66,187,35.3,127,363,35,394,1027,38.4,2021,0.267,0
Golden State Warriors,702,1105,63.5,361,855,42.2,192,537,35.8,81,191,42.4,82,192,42.7,163,383,42.6,433,1216,35.6,2021,0.478,0
Houston Rockets,772,1216,63.5,286,681,42,198,494,40.1,76,184,41.3,77,187,41.2,153,371,41.2,404,1118,36.1,2021,0.289,0
Indiana Pacers,833,1382,60.3,279,634,44,185,482,38.4,73,179,40.8,80,195,41,153,374,40.9,376,1010,37.2,2021,0.477,0
LA Clippers,749,1156,64.8,358,833,43,223,516,43.2,61,147,41.5,53,149,35.6,114,296,38.5,426,1183,36,2021,0.652,1
Los Angeles Lakers,852,1335,63.8,264,711,37.1,192,482,39.8,66,171,38.6,60,164,36.6,126,335,37.6,403,1174,34.3,2021,0.63,1
Memphis Grizzlies,671,1063,63.1,289,636,45.4,197,469,42,71,164,43.3,61,144,42.4,132,308,42.9,412,1156,35.6,2021,0.5,0
Miami Heat,665,1068,62.3,256,612,41.8,186,459,40.5,118,304,38.8,89,232,38.4,207,536,38.6,473,1327,35.6,2021,0.478,1
Milwaukee Bucks,641,1036,61.9,312,746,41.8,268,603,44.4,80,187,42.8,68,158,43,148,345,42.9,484,1339,36.1,2021,0.644,1
Minnesota Timberwolves,836,1312,63.7,307,718,42.8,239,566,42.2,69,169,40.8,70,159,44,139,328,42.4,410,1099,37.3,2021,0.239,0
New Orleans Pelicans,765,1150,66.5,233,579,40.2,160,426,37.6,98,240,40.8,63,170,37.1,161,410,39.3,515,1309,39.3,2021,0.432,0
New York Knicks,757,1248,60.7,209,510,41,190,455,41.8,68,196,34.7,68,189,36,136,385,35.3,403,1219,33.1,2021,0.522,1
Oklahoma City Thunder,793,1187,66.8,293,700,41.9,224,534,41.9,77,187,41.2,62,186,33.3,139,373,37.3,415,1211,34.3,2021,0.432,0
Orlando Magic,756,1129,67,262,646,40.6,233,539,43.2,81,180,45,66,171,38.6,147,351,41.9,469,1324,35.4,2021,0.333,0
Philadelphia 76ers,779,1251,62.3,273,680,40.1,203,573,35.4,50,161,31.1,44,133,33.1,94,294,32,447,1194,37.4,2021,0.711,1
Phoenix Suns,717,1123,63.8,300,694,43.2,237,570,41.6,55,152,36.2,53,133,39.8,108,285,37.9,382,1143,33.4,2021,0.682,1
Portland Trail Blazers,837,1300,64.4,251,592,42.4,223,503,44.3,85,213,39.9,96,190,50.5,181,403,44.9,409,1143,35.8,2021,0.6,1
Sacramento Kings,866,1276,67.9,337,783,43,213,545,39.1,70,177,39.5,47,133,35.3,117,310,37.7,457,1145,39.9,2021,0.444,0
San Antonio Spurs,733,1201,61,268,659,40.7,207,470,44,74,174,42.5,61,151,40.4,135,325,41.5,401,1089,36.8,2021,0.524,1
Toronto Raptors,686,1055,65,256,652,39.3,173,407,42.5,108,268,40.3,96,226,42.5,204,494,41.3,428,1192,35.9,2021,0.4,0
Utah Jazz,745,1172,63.6,350,874,40,245,635,38.6,48,132,36.4,53,127,41.7,101,259,39,377,1097,34.4,2021,0.75,1
Washington Wizards,559,866,64.5,446,920,48.5,287,652,44,75,196,38.3,62,166,37.3,137,362,37.8,429,1112,38.6,2021,0.364,0
Atlanta Hawks,1400,2170,64.5,395,958,41.2,312,757,41.2,93,244,38.1,74,208,35.6,167,452,36.9,628,1720,36.5,2020,0.299,0
Boston Celtics,1172,1867,62.8,392,1033,37.9,349,864,40.4,98,278,35.3,112,263,42.6,210,541,38.8,640,1946,32.9,2020,0.667,1
Brooklyn Nets,1162,1880,61.8,507,1226,41.4,438,1080,40.6,102,280,36.4,94,259,36.3,196,539,36.4,678,1952,34.7,2020,0.486,1
Charlotte Hornets,1331,2051,64.9,311,744,41.8,265,620,42.7,116,297,39.1,113,304,37.2,229,601,38.1,572,1656,34.5,2020,0.354,0
Chicago Bulls,1335,2036,65.6,278,713,39,230,561,41,136,284,47.9,86,258,33.3,222,542,41,503,1503,33.5,2020,0.338,0
Cleveland Cavaliers,1391,2080,66.9,350,844,41.5,305,745,40.9,128,287,44.6,90,239,37.7,218,526,41.4,587,1607,36.5,2020,0.292,0
Dallas Mavericks,1383,2185,63.3,448,1141,39.3,393,930,42.3,103,269,38.3,96,251,38.2,199,520,38.3,719,2082,34.5,2020,0.573,1
Denver Nuggets,1363,2085,65.4,397,1003,39.6,274,760,36.1,136,340,40,115,294,39.1,251,634,39.6,634,1815,34.9,2020,0.63,1
Detroit Pistons,1268,1928,65.8,448,1067,42,348,822,42.3,86,229,37.6,98,218,45,184,447,41.2,520,1491,34.9,2020,0.303,0
Golden State Warriors,1182,1791,66,405,1044,38.8,278,665,41.8,114,271,42.1,114,241,47.3,228,512,44.5,649,1731,37.5,2020,0.231,0
Houston Rockets,1450,2193,66.1,404,1110,36.4,312,766,40.7,121,354,34.2,115,331,34.7,236,685,34.5,643,1819,35.3,2020,0.611,1
Indiana Pacers,1304,2148,60.7,435,1039,41.9,307,819,37.5,93,280,33.2,97,256,37.9,190,536,35.4,647,1903,34,2020,0.616,1
LA Clippers,1214,1934,62.8,392,1042,37.6,354,953,37.1,106,268,39.6,88,255,34.5,194,523,37.1,692,2025,34.2,2020,0.681,1
Los Angeles Lakers,1245,2045,60.9,380,950,40,322,824,39.1,113,274,41.2,86,226,38.1,199,500,39.8,626,1856,33.7,2020,0.732,1
Memphis Grizzlies,1235,2026,61,418,1082,38.6,369,905,40.8,113,271,41.7,129,300,43,242,571,42.4,700,1995,35.1,2020,0.466,0
Miami Heat,1232,1871,65.8,379,950,39.9,265,753,35.2,127,333,38.1,123,344,35.8,250,677,36.9,705,2068,34.1,2020,0.603,1
Milwaukee Bucks,976,1769,55.2,435,1173,37.1,412,1049,39.3,112,307,36.5,118,301,39.2,230,608,37.8,790,2242,35.2,2020,0.767,1
Minnesota Timberwolves,1266,1970,64.3,373,942,39.6,382,837,45.6,101,230,43.9,64,183,35,165,413,40,574,1616,35.5,2020,0.297,0
New Orleans Pelicans,1486,2387,62.3,392,983,39.9,320,806,39.7,121,288,42,103,249,41.4,224,537,41.7,654,1883,34.7,2020,0.417,0
New York Knicks,1130,1782,63.4,317,809,39.2,308,788,39.1,115,254,45.3,89,241,36.9,204,495,41.2,672,1793,37.5,2020,0.318,0
Oklahoma City Thunder,1289,2037,63.3,454,1110,40.9,381,918,41.5,98,249,39.4,89,282,31.6,187,531,35.2,626,1843,34,2020,0.611,1
Orlando Magic,1229,1908,64.4,462,1144,40.4,364,838,43.4,104,252,41.3,109,260,41.9,213,512,41.6,681,1932,35.2,2020,0.452,1
Philadelphia 76ers,1322,2040,64.8,435,1100,39.5,390,988,39.5,78,195,40,64,174,36.8,142,369,38.5,616,1767,34.9,2020,0.589,1
Phoenix Suns,1405,2220,63.3,412,986,41.8,346,837,41.3,107,277,38.6,82,230,35.7,189,507,37.3,659,1814,36.3,2020,0.466,0
Portland Trail Blazers,1352,2267,59.6,386,1004,38.4,352,895,39.3,117,291,40.2,123,306,40.2,240,597,40.2,760,2003,37.9,2020,0.473,1
Sacramento Kings,1305,1934,67.5,371,936,39.6,328,783,41.9,113,298,37.9,116,304,38.2,229,602,38,664,1887,35.2,2020,0.431,0
San Antonio Spurs,1310,2043,64.1,402,1012,39.7,363,858,42.3,113,265,42.6,87,236,36.9,200,501,39.9,729,1981,36.8,2020,0.451,0
Toronto Raptors,1123,1893,59.3,372,934,39.8,287,741,38.7,174,466,37.3,159,432,36.8,333,898,37.1,606,1877,32.3,2020,0.736,1
Utah Jazz,1207,1896,63.7,501,1245,40.2,435,1044,41.7,83,190,43.7,72,211,34.1,155,401,38.7,632,1810,34.9,2020,0.611,1
Washington Wizards,1374,2067,66.5,478,1052,45.4,356,860,41.4,108,259,41.7,86,211,40.8,194,470,41.3,702,1902,36.9,2020,0.347,0
Atlanta Hawks,1570,2480,63.3,453,1034,43.8,473,1084,43.6,152,398,38.2,119,305,39,271,703,38.5,741,2097,35.3,2019,0.354,0
Boston Celtics,1423,2267,62.8,460,1175,39.1,415,1037,40,101,294,34.4,122,302,40.4,223,596,37.4,718,2128,33.7,2019,0.598,1
Brooklyn Nets,1482,2409,61.5,617,1390,44.4,517,1302,39.7,102,274,37.2,75,245,30.6,177,519,34.1,666,1943,34.3,2019,0.512,1
Charlotte Hornets,1601,2494,64.2,407,1021,39.9,437,1048,41.7,128,307,41.7,129,308,41.9,257,615,41.8,734,2124,34.6,2019,0.476,0
Chicago Bulls,1564,2460,63.6,450,1039,43.3,460,1109,41.5,127,302,42.1,115,289,39.8,242,591,40.9,747,2097,35.6,2019,0.268,0
Cleveland Cavaliers,1624,2382,68.2,428,1005,42.6,503,1172,42.9,121,307,39.4,120,298,40.3,241,605,39.8,743,1976,37.6,2019,0.232,0
Dallas Mavericks,1470,2237,65.7,487,1213,40.1,482,1198,40.2,109,313,34.8,112,304,36.8,221,617,35.8,697,2029,34.4,2019,0.402,0
Denver Nuggets,1551,2448,63.4,454,1072,42.4,362,963,37.6,145,368,39.4,126,351,35.9,271,719,37.7,606,1869,32.4,2019,0.659,1
Detroit Pistons,1486,2256,65.9,559,1328,42.1,441,1115,39.6,100,252,39.7,103,260,39.6,203,512,39.6,582,1751,33.2,2019,0.5,1
Golden State Warriors,1385,2140,64.7,545,1452,37.5,430,1128,38.1,119,318,37.4,97,286,33.9,216,604,35.8,739,2131,34.7,2019,0.695,1
Houston Rockets,1611,2415,66.7,512,1298,39.4,360,951,37.9,138,354,39,112,324,34.6,250,678,36.9,580,1753,33.1,2019,0.646,1
Indiana Pacers,1466,2365,62,370,1011,36.6,409,1051,38.9,119,306,38.9,99,283,35,218,589,37,714,2026,35.2,2019,0.585,1
LA Clippers,1612,2576,62.6,483,1263,38.2,479,1174,40.8,87,237,36.7,81,222,36.5,168,459,36.6,680,1999,34,2019,0.585,1
Los Angeles Lakers,1640,2711,60.5,422,1092,38.6,408,1030,39.6,119,314,37.9,112,315,35.6,231,629,36.7,737,2138,34.5,2019,0.451,0
Memphis Grizzlies,1369,2241,61.1,383,968,39.6,383,991,38.6,124,325,38.2,138,324,42.6,262,649,40.4,686,1973,34.8,2019,0.402,0
Miami Heat,1277,2176,58.7,456,1135,40.2,437,1090,40.1,134,348,38.5,133,373,35.7,267,721,37,704,1988,35.4,2019,0.476,0
Milwaukee Bucks,1213,2093,58,518,1337,38.7,519,1267,41,139,336,41.4,117,292,40.1,256,628,40.8,816,2327,35.1,2019,0.732,1
Minnesota Timberwolves,1585,2507,63.2,418,1097,38.1,412,1039,39.7,147,342,43,144,346,41.6,291,688,42.3,745,2046,36.4,2019,0.439,0
New Orleans Pelicans,1652,2593,63.7,465,1157,40.2,427,1095,39,112,296,37.8,138,325,42.5,250,621,40.3,754,2130,35.4,2019,0.402,0
New York Knicks,1662,2660,62.5,413,995,41.5,392,1030,38.1,141,361,39.1,126,308,40.9,267,669,39.9,700,1983,35.3,2019,0.207,0
Oklahoma City Thunder,1591,2614,60.9,395,979,40.3,435,1087,40,123,319,38.6,127,342,37.1,250,661,37.8,670,1911,35.1,2019,0.598,1
Orlando Magic,1411,2244,62.9,526,1326,39.7,479,1140,42,93,242,38.4,98,260,37.7,191,502,38,667,1956,34.1,2019,0.512,1
Philadelphia 76ers,1555,2532,61.4,543,1299,41.8,479,1213,39.5,75,223,33.6,81,226,35.8,156,449,34.7,685,1985,34.5,2019,0.622,1
Phoenix Suns,1722,2716,63.4,452,1103,41,398,963,41.3,108,272,39.7,113,257,44,221,529,41.8,687,1893,36.3,2019,0.232,0
Portland Trail Blazers,1507,2469,61,454,1143,39.7,533,1332,40,88,238,37,76,217,35,164,455,36,713,1971,36.2,2019,0.646,1
Sacramento Kings,1635,2499,65.4,465,1120,41.5,381,979,38.9,110,314,35,121,338,35.8,231,652,35.4,753,2165,34.8,2019,0.476,0
San Antonio Spurs,1349,2135,63.2,563,1313,42.9,531,1230,43.2,123,295,41.7,97,259,37.5,220,554,39.7,739,2106,35.1,2019,0.585,1
Toronto Raptors,1470,2412,60.9,477,1212,39.4,475,1174,40.5,122,333,36.6,115,325,35.4,237,658,36,642,1885,34.1,2019,0.707,1
Utah Jazz,1347,2259,59.6,609,1485,41,517,1242,41.6,88,228,38.6,77,238,32.4,165,466,35.4,638,1781,35.8,2019,0.61,1
Washington Wizards,1744,2637,66.1,392,1059,37,431,1042,41.4,125,296,42.2,90,249,36.1,215,545,39.4,778,2124,36.6,2019,0.39,0
Atlanta Hawks,1339,2126,63,481,1101,43.7,570,1367,41.7,99,269,36.8,120,306,39.2,219,575,38.1,727,1926,37.7,2018,0.293,0
Boston Celtics,1404,2267,61.9,390,1086,35.9,503,1355,37.1,86,226,38.1,97,210,46.2,183,436,42,586,1803,32.5,2018,0.671,1
Brooklyn Nets,1347,2204,61.1,613,1415,43.3,724,1715,42.2,75,204,36.8,81,193,42,156,397,39.3,578,1586,36.4,2018,0.341,0
Charlotte Hornets,1368,2113,64.7,486,1143,42.5,590,1476,40,100,266,37.6,106,234,45.3,206,500,41.2,720,1951,36.9,2018,0.439,0
